Pub_date,Topics,Title,Author,Publisher,Language,Description,Access_restricted,Added_date,Pdf_link,TXT_link,ISBN
2002,"Piero, della Francesca, 1416?-1492 -- Criticism and interpretation.",Piero della Francesca,Marilyn Aronberg Lavin,Phaidon Press,English,#Null,#Null,#Null,#Null,#Null,[]
1999,Painting -- History,Masterpieces of western art : a history of art in 900 individual studies from the Gothic to the present day,#Null,Köln ; London : Taschen,English,"Part. 1. From the gothic to neoclassicism / by Robert Suckale [and others] Gothic : the rebirth of art, from Giotto to Lochner ; Early renaissance : European painting in the 15th century, from Masaccio to Bosch ; Renaissance and mannerism : European painting in the 16th century, from Leonardo and Dürer to El Greco ; Baroque : the painting of the 17th century in Italy, France, England, Germany and Spain, from Caravaggio to Velázquez ; Baroque in the Netherlands : Dutch and Flemish painting in the 17th century, from Rubens to Vermeer ; Rococo and Neoclassicism : the painting in the 18th century, from Watteau to Goya -- pt. 2. From the romantic age to the present day / by Barbara Eschenburg [and others] Romanticism and realism : painting in the 19th century, from Friedrich to Courbet ; Impressionism, art nouveau and jugendstil : painting from 1860-1910, from Manet to Klimt ; Classical modernism : painting in the first half of the 20th century, from Picasso and Matisse to Klee ; Contemporary painting : new movements in painting since 1945, from Pollock to Baselitz",true,2019-12-28 09:26:43,#Null,#Null,"['3822870315', '9783822870310']"
2016-10-21,BBC,"No Commitments : BBC Radio 4 Extra : October 21, 2016 09:30AM-10:00AM BST",#Null,#Null,English,"Victoria frets over Roger, Charlotte misbehaves badly and Anna is stuck in the middle.
",true,2016-10-21 09:04:43,#Null,#Null,[]
2016-10-17,BBC,"In the End : BBC Radio 4 Extra : October 17, 2016 09:30AM-10:00AM BST",#Null,#Null,English,"Maverick hack George Cragge thinks he is next on the murderer's list. From December 1999.
",true,2016-10-17 09:05:07,#Null,#Null,[]
2016-10-22,BBC,"Book of the Week : BBC Radio 4 Extra : October 22, 2016 02:45AM-03:00AM BST",#Null,#Null,English,"The flop of 'Twang!' leaves Bart's reputation in tatters.
",true,2016-10-22 02:03:58,#Null,#Null,[]
2016-10-18,BBC,"Book of the Week : BBC Radio 4 Extra : October 18, 2016 02:45AM-03:00AM BST",#Null,#Null,English,"Bart's East End childhood and early exposure to music.
",true,2016-10-18 02:09:08,#Null,#Null,[]
2016-10-21,BBC,"Book of the Week : BBC Radio 4 Extra : October 21, 2016 02:45PM-03:00PM BST",#Null,#Null,English,"The flop of 'Twang!' leaves Bart's reputation in tatters.
",true,2016-10-21 14:04:08,#Null,#Null,[]
2016-10-19,BBC,"Book of the Week : BBC Radio 4 Extra : October 19, 2016 02:45AM-03:00AM BST",#Null,#Null,English,"Bart meets Joan Littlewood and writes the songs for Fings Ain't Wot They Used T'Be.
",true,2016-10-19 02:03:12,#Null,#Null,[]
2016-10-18,BBC,"Book of the Week : BBC Radio 4 Extra : October 18, 2016 02:45PM-03:00PM BST",#Null,#Null,English,"Bart meets Joan Littlewood and writes the songs for Fings Ain't Wot They Used T'Be.
",true,2016-10-18 14:03:52,#Null,#Null,[]
2016-10-20,BBC,"Book of the Week : BBC Radio 4 Extra : October 20, 2016 02:45AM-03:00AM BST",#Null,#Null,English,"Lionel Bart begins work on his musical masterpiece, 'Oliver!'.
",true,2016-10-20 02:03:56,#Null,#Null,[]
2016-10-20,BBC,"Crazy Big Fish : BBC Radio 4 Extra : October 20, 2016 09:30AM-10:00AM BST",#Null,#Null,English,"The Hull women aim for a read-through of the play, but one of them is particularly scared.
",true,2016-10-20 09:09:31,#Null,#Null,[]
